Bolt,Cost,Total Qty,Qty Rec,Mfg/Matl,Vendor,Notes,Out to Quote,Order Date,Req Date,Conf Date,PO #,Locations
"M8 X 1.25 X 30 HEX SHCS, ", ,224,,  ,Monroe Fasteners,  , , , , , ,", 8x124.502, 4x125.502, 8x126.502, 8x127.502, 4x128.502, 24x130.504, 20x133.501, 10x170.501, 48x220.501, 16x230.504, 2x241.506, 4x260.502, 4x270.502, 12x412.502, 32x414.501, 12x422.502, 4x512.502, 4x522.502,"
"M8 X 1.25 X 30 SOCKET FCHS, ", ,8,,  ,Monroe Fasteners,  , , , , , ,", 4x331.507, 4x631.507,"
"M8 X 1.25 X 35 HEX SHCS, ", ,96,,  ,Monroe Fasteners,  , , , , , ,", 24x130.512, 8x221.503, 8x222.503, 16x230.512, 4x343.520, 4x344.520, 12x412.503, 12x422.503, 4x512.503, 4x522.503,"
"M8 X 1.25 X 40 HEX SHCS, ", ,32,,  ,Monroe Fasteners,  , , , , , ,", 16x320.501, 16x620.501,"
"M8 X 1.25 X 40 SBHCS,", ,0,,  ,Monroe Fasteners,  , , , , , ,","
"M8 X 1.25 X 40 SOCKET FCHS, ",,8,,,,,,,,,,", 8x342.512,"
"M8 X 1.25 X 50 HEX SHCS, ", ,20,,  ,Monroe Fasteners,  , , , , , ,", 0x130.505, 20x133.505, 0x230.505,"
"M8 X 1.25 X 60 HEX SHCS, ", ,8,,  ,Monroe Fasteners,  , , , , , ,", 8x216.502,"
"M8 X 1.25 X 80 HEX SHCS, ", ,40,,  ,Monroe Fasteners,  , , , , , ,", 4x331.508, 12x412.504, 12x422.504, 4x512.504, 4x522.504, 4x631.508,"
"M8 X 1.25, Hex Flange Nut", ,348,,  ,Monroe Fasteners,  , , , , , ,", 348x117.501,"
"PLAIN WASHER, #6, NARROW, ",,20,,,,,,,,,,", 12x473.504, 4x514.504, 4x515.504,"
"PLAIN WASHER, 10 mm, NARROW, ", ,28,,  ,Monroe Fasteners,  , , , , , ,", 8x123.502, 20x133.504,"
"PLAIN WASHER, 10 mm, REGULAR, ", ,2,,  ,Monroe Fasteners,  , , , , , ,", 2x212.503,"
"PLAIN WASHER, 12mm, NARROW,", ,56,,  ,Monroe Fasteners,  , , , , , ,", 4x330.503, 12x412.508, 16x414.503, 12x422.508, 4x512.508, 4x522.508, 4x630.503,"
"PLAIN WASHER, 3 mm, NARROW, ",,16,,,,,,,,,,", 2x654.506, 6x655.508, 2x664.506, 6x665.508,"
"PLAIN WASHER, 4 mm, NARROW, ", ,74,,  ,Monroe Fasteners,  , , , , , ,", 28x121.504, 4x223.503, 6x540.501, 16x650.508, 16x660.508, 4x720.504,"
"PLAIN WASHER, 5 mm, NARROW, ", ,168,,  ,Monroe Fasteners,  , , , , , ,", 4x118.503, 4x119.503, 10x134.506, 8x213.504, 12x219.503, 4x243.510, 4x244.508, 21x332.508, 21x333.508, 8x334.505, 30x632.509, 30x633.509, 8x634.505, 2x655.507, 2x665.507,"
"PLAIN WASHER, 5mm, REGULAR", ,4,,  ,Monroe Fasteners,  , , , , , ,", 2x343.510, 2x344.510,"
"PLAIN WASHER, 6 mm, NARROW, ", ,893,,  ,Monroe Fasteners,  , , , , , ,", 6x213.503, 4x243.511, 13x331.510, 15x343.517, 15x344.517, 18x410.502, 116x413.506, 96x416.503, 18x420.502, 116x423.506, 18x430.502, 18x440.502, 18x450.502, 58x453.506, 18x460.502, 58x463.506, 82x513.506, 32x516.503, 82x523.506, 13x631.510, 4x650.509, 8x653.505, 6x654.507, 2x655.506, 8x656.503, 4x660.509, 4x663.505, 6x664.507, 2x665.506, 3x730.505, 8x740.503, 24x811.502,"
"PLAIN WASHER, 6 mm, REGULAR, ", ,76,,  ,Monroe Fasteners,  , , , , , ,", 12x122.503, 12x332.503, 12x333.503, 8x334.503, 12x632.504, 12x633.504, 8x634.503,"
"PLAIN WASHER, 8 mm, NARROW, ", ,76,,  ,Monroe Fasteners,  , , , , , ,", 6x160.503, 4x180.505, 16x215.503, 8x216.503, 4x331.511, 2x343.521, 2x344.521, 8x473.502, 8x514.502, 8x515.502, 4x631.511, 3x653.506, 3x663.506,"
"PLAIN WASHER, 8 mm, REGULAR, ", ,72,,  ,Monroe Fasteners,  , , , , , ,", 12x130.510, 20x133.506, 8x221.502, 8x222.502, 8x230.510, 2x343.522, 2x344.522, 12x540.502,"
