,"Type","Date","Num","Name","Memo","Source Name","Account","Amount","Balance","Account Type"
"Parts",,,,,,,,,"",
"5245K12 (Retracting Air Hose Brass Male X Male, 18', 1/4"" ID, 170 PSI)",,,,,,,,,"",
,"Bill","11/29/2023","18301285","General Films:GF12 - 2-Up Bag Machine",,"McMaster-Carr Supply Co.","51200 · Freight-Machinery",39.01,16561.48,"Cost of Goods Sold"
,"Bill","11/29/2023","LN30065122U3","General Films:GF12 - 2-Up Bag Machine",,"Misumi USA, Inc.","51200 · Freight-Machinery",20.44,16581.92,"Cost of Goods Sold"
,"Bill","11/30/2023","18370960","General Films:GF12 - 2-Up Bag Machine",,"McMaster-Carr Supply Co.","51200 · Freight-Machinery",11.73,16593.65,"Cost of Goods Sold"
,"Bill","12/01/2023","6218076","General Films:GF12 - 2-Up Bag Machine",,"AAP Automation, Inc.","51200 · Freight-Machinery",22.50,16616.15,"Cost of Goods Sold"
,"Bill","12/04/2023","18497061","General Films:GF12 - 2-Up Bag Machine",,"McMaster-Carr Supply Co.","51200 · Freight-Machinery",10.82,16626.97,"Cost of Goods Sold"
,"Bill","12/06/2023","18677312","General Films:GF12 - 2-Up Bag Machine",,"McMaster-Carr Supply Co.","51200 · Freight-Machinery",39.34,16666.31,"Cost of Goods Sold"
,"Credit Card Charge","12/11/2023",,"General Films:GF12 - 2-Up Bag Machine",,"United Airlines","68400 · Travel Expense",399.62,17065.93,"Expense"
,"Credit Card Charge","12/11/2023",,"General Films:GF12 - 2-Up Bag Machine",,"United Airlines","68400 · Travel Expense",96.00,17161.93,"Expense"
,"Credit Card Charge","12/11/2023",,"General Films:GF12 - 2-Up Bag Machine",,"United Airlines","68400 · Travel Expense",88.00,17249.93,"Expense"
,"Credit Card Charge","12/11/2023",,"General Films:GF12 - 2-Up Bag Machine",,"United Airlines","68400 · Travel Expense",24.00,17273.93,"Expense"
,"Credit Card Charge","12/11/2023",,"General Films:GF12 - 2-Up Bag Machine",,"United Airlines","68400 · Travel Expense",24.00,17297.93,"Expense"
,"Bill","12/12/2023","91701293","General Films:GF12 - 2-Up Bag Machine",,"Curbell Plastics, Inc.","51200 · Freight-Machinery",15.00,17312.93,"Cost of Goods Sold"
,"Credit Card Charge","12/13/2023",,"General Films:GF12 - 2-Up Bag Machine",,"Freddys","64300 · Business Meals",138.16,17451.09,"Expense"
,"Credit Card Charge","12/13/2023",,"General Films:GF12 - 2-Up Bag Machine",,"United Airlines","68400 · Travel Expense",72.00,17523.09,"Expense"
,"Credit Card Charge","12/13/2023",,"General Films:GF12 - 2-Up Bag Machine",,"United Airlines","68400 · Travel Expense",433.80,17956.89,"Expense"
,"Credit Card Charge","12/13/2023",,"General Films:GF12 - 2-Up Bag Machine",,"United Airlines","68400 · Travel Expense",64.00,18020.89,"Expense"
,"Credit Card Charge","12/13/2023",,"General Films:GF12 - 2-Up Bag Machine",,"United Airlines","68400 · Travel Expense",79.00,18099.89,"Expense"
,"Credit Card Charge","12/13/2023",,"General Films:GF12 - 2-Up Bag Machine",,"United Airlines","68400 · Travel Expense",533.80,18633.69,"Expense"
,"Credit Card Charge","12/13/2023",,"General Films:GF12 - 2-Up Bag Machine",,"United Airlines","68400 · Travel Expense",24.00,18657.69,"Expense"
,"Credit Card Charge","12/13/2023",,"General Films:GF12 - 2-Up Bag Machine",,"United Airlines","68400 · Travel Expense",24.00,18681.69,"Expense"
,"Credit Card Charge","12/13/2023",,"General Films:GF12 - 2-Up Bag Machine",,"United Airlines","68400 · Travel Expense",96.00,18777.69,"Expense"
,"Credit Card Charge","12/17/2023",,"General Films:GF12 - 2-Up Bag Machine",,"Aviators","64300 · Business Meals",190.52,18968.21,"Expense"
,"Credit","12/17/2023","CO16-01056385","General Films:GF12 - 2-Up Bag Machine",,"Motion Industries","51200 · Freight-Machinery",-500.27,18467.94,"Cost of Goods Sold"
,"Credit Card Charge","12/18/2023",,"General Films:GF12 - 2-Up Bag Machine",,"El Herradero","64300 · Business Meals",76.81,18544.75,"Expense"
,"Credit Card Charge","12/18/2023",,"General Films:GF12 - 2-Up Bag Machine",,"Bob Evans","64300 · Business Meals",50.97,18595.72,"Expense"
,"Credit Card Charge","12/19/2023",,"General Films:GF12 - 2-Up Bag Machine",,"Coldstone","64300 · Business Meals",20.30,18616.02,"Expense"
,"Credit Card Charge","12/19/2023",,"General Films:GF12 - 2-Up Bag Machine",,"The Caroline","64300 · Business Meals",262.75,18878.77,"Expense"
,"Credit Card Charge","12/19/2023",,"General Films:GF12 - 2-Up Bag Machine",,"Elways","64300 · Business Meals",93.00,18971.77,"Expense"
,"Credit Card Charge","12/19/2023",,"General Films:GF12 - 2-Up Bag Machine",,"United Airlines","68400 · Travel Expense",35.00,19006.77,"Expense"
,"Credit Card Charge","12/21/2023",,"General Films:GF12 - 2-Up Bag Machine",,"Shens Szchuan","64300 · Business Meals",300.18,19306.95,"Expense"
,"Credit Card Charge","12/22/2023",,"General Films:GF12 - 2-Up Bag Machine",,"United Airlines","68400 · Travel Expense",788.80,20095.75,"Expense"
,"Credit Card Charge","12/22/2023",,"General Films:GF12 - 2-Up Bag Machine",,"United Airlines","68400 · Travel Expense",148.00,20243.75,"Expense"
,"Credit Card Charge","12/22/2023",,"General Films:GF12 - 2-Up Bag Machine",,"United Airlines","68400 · Travel Expense",79.00,20322.75,"Expense"
,"Credit Card Credit","12/22/2023",,"General Films:GF12 - 2-Up Bag Machine",,"United Airlines","68400 · Travel Expense",-88.00,20234.75,"Expense"
,"Credit Card Charge","12/22/2023",,"General Films:GF12 - 2-Up Bag Machine",,"Smiths Boathouse","64300 · Business Meals",103.46,20338.21,"Expense"
,"Credit Card Charge","12/22/2023",,"General Films:GF12 - 2-Up Bag Machine",,"Chipotle","64300 · Business Meals",25.40,20363.61,"Expense"
,"Credit Card Charge","12/23/2023",,"General Films:GF12 - 2-Up Bag Machine",,"National Car Rental","68400 · Travel Expense",662.72,21026.33,"Expense"
,"Credit Card Charge","12/23/2023",,"General Films:GF12 - 2-Up Bag Machine",,"Texas Roudhouse","64300 · Business Meals",172.85,21199.18,"Expense"
,"Credit Card Charge","12/23/2023",,"General Films:GF12 - 2-Up Bag Machine",,"Home2 Suites","68400 · Travel Expense",950.38,22149.56,"Expense"
